City,Temperature,Humidity,Clouds,Windspeed,Latitude
Albany,16.55,63,75,6.2,42.65
Puerto Ayora,27.11,69,20,5.7,-0.74
Cape Town,15.21,77,0,5.1,-33.93
Davila,29.0,79,75,1.0,18.47
Luderitz,15.0,77,0,7.7,-26.65
Butaritari,28.68,76,68,5.63,3.07
Portland,16.83,37,20,5.7,45.52
Hilo,23.94,61,75,5.7,19.71
Itoman,24.26,88,40,2.6,26.12
Mount Isa,29.0,32,0,5.7,-20.73
Rikitea,26.01,80,27,6.06,-23.12
Ushuaia,6.0,87,75,12.9,-54.81
East London,13.29,72,82,3.83,-33.02
Victoria,26.27,83,75,1.0,5.28
San Patricio,22.89,95,100,1.36,-26.98
Bluff,25.23,63,16,8.65,-23.58
Busselton,7.77,98,41,3.84,-33.64
Arraial do Cabo,24.01,83,0,1.93,-22.97
Kampong Thum,29.58,75,72,5.05,12.71
Lompoc,15.53,82,90,7.2,34.64
Vao,2.39,76,0,1.8,59.1
Longyearbyen,-4.0,85,90,14.4,78.22
Ocos,30.53,62,90,3.1,14.51
Buala,28.47,74,99,3.53,-8.15
Hasaki,17.05,72,75,5.7,35.73
Port Elizabeth,15.14,82,1,3.6,39.31
Hithadhoo,29.33,79,100,6.83,-0.6
Jamestown,16.98,63,72,4.29,-33.21
New Norfolk,19.2,64,0,3.6,-42.78
Vaini,21.0,73,20,2.1,15.34
Aklavik,1.0,64,75,3.6,68.22
Kahului,24.66,65,75,3.6,20.89
Punta Arenas,8.94,76,20,12.3,-53.16
Hermanus,14.44,77,82,3.58,-34.42
Buluang,30.0,58,20,3.6,10.47
Airai,27.12,62,59,1.96,-8.93
Burnie,18.71,88,100,0.45,-41.05
Shaygino,5.32,76,100,0.36,57.77
Mitsamiouli,28.78,78,93,6.34,-11.38
Murray Bridge,17.31,75,97,2.24,-35.12
Kapaa,25.67,61,20,5.7,22.08
Hobart,19.2,64,0,3.6,-42.88
Polyarnyy,4.0,92,0,2.0,69.2
Coquimbo,14.0,82,0,2.1,-29.95
Mount Gambier,15.0,93,90,6.7,-37.83
Tommot,-2.63,77,91,4.25,58.97
Ancud,9.0,87,90,2.1,-41.87
Mataura,13.33,80,5,1.58,-46.19
Tuktoyaktuk,-4.0,85,75,3.1,69.44
Laramie,17.02,16,20,10.3,41.31
Barrow,10.44,84,0,0.56,-38.31
Yellowknife,0.0,73,75,3.6,62.45
Antonovo,0.22,60,100,4.17,55.82
Mar del Plata,15.03,46,0,1.98,-46.43
Kelvington,13.09,26,73,5.0,52.16
Avarua,25.0,53,13,6.2,-21.21
Gushikawa,24.28,94,90,7.2,26.35
Leningradskiy,-12.12,85,100,7.03,69.38
Upernavik,-9.57,77,100,2.4,72.79
Miri,27.73,12,60,2.14,10.31
Torbay,2.14,100,90,2.6,47.66
Rio Grande,17.27,87,33,1.44,-32.03
Fortuna,14.02,67,40,7.2,38.18
Kudahuvadhoo,29.11,77,100,6.88,2.67
Mahebourg,25.76,83,75,6.7,-20.41
Atuona,28.42,75,0,5.81,-9.8
Ribeira Grande,16.7,90,40,4.14,38.52
Lucapa,21.21,80,48,1.48,-8.42
Thompson,2.0,51,20,3.1,55.74
Sitka,27.78,27,0,7.15,37.17
Taoudenni,27.15,13,0,6.67,22.68
Eyl,26.45,72,40,3.36,7.98
Dikson,-15.46,91,100,6.91,73.51
Yingkou,13.16,13,55,4.93,40.67
Bredasdorp,11.0,87,91,2.1,-34.53
Toora-Khem,-0.59,44,100,0.89,52.47
Iqaluit,-15.0,71,40,1.5,63.75
Nemuro,9.0,39,20,4.1,43.32
Nenjiang,5.69,21,0,4.58,49.17
Georgetown,26.93,74,40,7.2,6.8
Bemidji,13.82,66,75,3.6,47.48
Ponta Delgada,13.86,87,75,4.1,37.73
Cidreira,21.77,80,53,2.94,-30.17
Itanhaem,24.0,53,0,1.0,-24.18
Anna Paulowna,10.97,62,0,5.1,52.86
Zhigansk,-4.16,90,100,2.81,66.77
Port Lincoln,16.41,67,3,6.9,-34.72
Richards Bay,24.44,79,92,10.8,-28.77
Port-Gentil,27.88,77,100,2.84,-0.72
Vidalia,17.76,55,1,1.5,31.57
Parana,25.0,94,0,0.66,-7.52
Souillac,11.6,76,0,1.0,45.6
Qaanaaq,-23.1,77,100,1.58,77.48
Toropets,2.64,76,0,2.21,56.5
Barabai,25.21,92,80,0.44,-2.59
Singaparna,22.48,92,89,1.35,-7.35
Champerico,29.0,32,5,7.7,16.38
Lavrentiya,-16.8,81,44,1.8,65.58
Altay,2.11,82,71,2.41,47.83
Pangody,-14.41,93,61,4.4,65.85
Banjar,23.93,95,81,0.99,-7.37
Kalutara,25.0,94,20,5.67,6.58
Mamallapuram,30.44,79,40,2.6,12.63
Flinders,22.74,69,83,2.6,-34.58
Meulaboh,28.0,83,92,2.97,4.14
Saskylakh,-11.43,96,100,2.86,71.97
Tiksi,-10.5,77,99,5.9,71.64
Takoradi,26.96,83,100,2.47,4.89
Hambantota,25.0,100,20,1.5,6.12
Myitkyina,19.65,64,1,1.87,25.38
Guerrero Negro,15.68,85,7,7.07,27.97
Deputatskiy,-11.97,95,87,3.34,69.3
Carauari,25.89,87,93,0.72,-4.88
Norsup,29.5,79,96,3.6,-16.07
Klaksvik,7.0,81,46,3.6,62.23
Rio Linda,18.5,49,1,7.2,38.69
Areosa,17.37,42,0,3.6,41.72
Mpulungu,16.96,96,94,3.38,-8.77
Nantucket,14.16,87,90,6.2,41.28
Preobrazheniye,12.68,38,36,2.51,42.9
Vestmanna,7.0,81,63,3.6,62.16
Severo-Kurilsk,1.92,81,26,7.06,50.68
Oxford,11.91,82,90,1.13,33.61
Saint-Leu,22.44,65,75,2.6,-21.15
Castlebar,9.58,92,100,2.24,53.86
Kruisfontein,12.25,91,56,2.55,-34.0
Jumla,2.72,50,7,1.96,29.28
Huarmey,20.65,90,53,6.92,-10.07
Port Alfred,15.0,86,30,1.34,-33.59
Arman,-1.6,90,96,1.23,59.7
Kununurra,30.0,58,67,1.0,-15.77
Bathsheba,26.0,78,20,8.2,13.22
Santa Cruz de la Palma,15.66,72,90,5.1,28.68
Tacoronte,15.84,100,75,6.7,28.48
Xiaoweizhai,18.65,94,65,1.1,26.23
Castro,9.0,87,90,2.1,-42.48
Iracoubo,26.04,81,64,4.01,5.48
Kodiak,22.49,4,1,6.7,39.95
Nouadhibou,18.0,72,0,8.2,20.93
Bambous Virieux,25.76,83,75,6.7,-20.34
Saint George,6.85,81,40,0.58,39.45
Polovinnoye,0.07,85,8,2.23,54.79
Chiavari,14.91,34,40,1.5,44.32
Lebedinyy,-6.26,89,100,5.38,58.52
Malanje,19.79,90,99,1.23,-9.54
Chokurdakh,-10.88,85,1,3.57,70.62
Bonavista,2.22,86,100,0.45,48.65
Uribia,29.67,57,98,5.66,11.71
Cherskiy,-14.16,83,69,1.35,68.75
Inhambane,19.55,95,0,1.2,-23.87
Fuyu,8.36,15,0,5.36,47.79
Petropavl,0.03,85,21,2.85,54.87
Caluquembe,16.82,93,97,1.26,-13.78
Tura,23.78,49,5,1.88,25.52
Carnarvon,12.8,40,99,6.45,-30.97
Coos Bay,11.19,76,90,7.2,43.37
Orje,5.49,86,72,1.5,59.48
Homer,1.25,80,90,2.6,59.64
Puerto Narino,25.0,100,20,0.61,-3.77
Barcelos,16.47,52,20,3.1,41.53
Shu,9.31,85,80,3.45,43.6
Lebu,14.0,82,75,2.1,8.96
Tasiilaq,-1.0,92,100,11.3,65.61
Abnub,15.64,49,0,7.95,27.27
Bato,28.43,73,32,1.92,13.36
Ilulissat,-5.0,53,57,1.5,69.22
Ambilobe,23.45,84,36,3.08,-13.19
Kaeo,21.94,88,7,2.31,-35.1
Faanui,29.09,70,2,2.74,-16.48
Kochevo,2.84,69,0,1.0,42.1
Saint-Philippe,6.4,100,90,3.98,45.36
Nikolskoye,-0.95,92,0,2.0,59.7
Esmeraldas,22.0,60,0,1.5,-19.76
Ahipara,22.78,88,1,3.94,-35.17
Pevek,-10.6,90,100,5.6,69.7
Jinchang,12.18,39,36,1.77,38.52
Dunmore Town,23.53,66,70,3.07,25.5
Saint-Joseph,16.03,59,0,1.0,43.56
Grand Gaube,25.8,83,75,6.7,-20.01
Santa Cruz,14.36,48,75,7.2,36.97
Rio Gallegos,10.0,71,20,11.8,-51.62
Ratnapura,31.77,32,86,4.26,17.9
Sur,29.86,30,0,4.33,22.57
Ponta do Sol,16.92,85,0,0.79,-20.63
Lorengau,30.32,66,78,0.59,-2.02
Yar-Sale,-5.3,97,100,3.48,66.83
Batsfjord,4.53,83,96,9.1,70.63
Inta,0.01,92,100,8.41,66.04
Kavaratti,29.15,65,97,4.19,10.57
Verkhnevilyuysk,-4.53,78,97,2.77,63.45
Ukiah,13.51,51,1,8.7,39.15
Lasa,11.15,61,40,8.7,34.92
Pak Phanang,26.0,94,20,1.75,8.35
Yulara,16.0,36,40,6.7,-25.24
Wum,20.01,83,86,1.61,6.39
Turukhansk,-17.09,92,19,4.3,65.8
Laibin,24.6,92,82,2.34,23.74
Vysokogornyy,2.73,68,99,2.04,50.1
Valdemarpils,4.0,93,100,0.5,57.37
Honiara,32.0,59,75,3.1,-9.43
Sungaipenuh,24.75,77,58,1.51,-2.08
Codrington,22.99,88,90,2.6,-28.95
Lincoln,26.38,26,1,7.2,40.8
Teya,24.49,41,5,2.1,21.05
Grindavik,5.61,86,75,7.7,63.84
Bethel,-1.96,86,90,1.5,60.79
Sosnovka,6.63,47,21,0.97,53.23
Travesia,24.17,57,75,3.1,15.87
Kaitangata,13.33,66,84,4.02,-46.28
Chifeng,6.39,19,0,2.57,42.27
Beringovskiy,-8.56,77,37,3.23,63.05
Bundaberg,24.0,73,75,10.8,-24.87
Saint-Francois,7.56,87,0,0.92,46.42
Khatanga,-17.52,89,100,2.77,71.98
Mecca,23.3,38,0,2.85,21.43
Katsuura,17.4,72,75,0.5,33.93
Saldanha,12.09,53,5,4.42,41.42
San Quintin,29.62,62,27,1.18,17.54
Salalah,27.0,74,20,1.0,17.01
Khash,16.09,37,0,2.79,28.22
Liberty,5.64,100,90,3.36,39.64
Provideniya,-11.79,60,86,1.67,64.42
Manokwari,24.07,86,97,1.45,-0.87
Seoul,14.18,82,90,1.0,37.57
Churapcha,1.85,74,99,4.85,62.0
Pailon,26.0,88,75,2.6,-17.66
Baruun-Urt,4.61,22,0,5.34,46.68
Uruzgan,9.35,46,0,1.79,32.93
Mobile,17.79,31,1,1.5,30.69
Beloha,20.51,80,0,3.96,-25.17
Cam Ranh,31.0,66,20,5.7,11.92
Putina,9.0,70,75,5.7,-14.91
Severo-Yeniseyskiy,-3.59,96,100,2.89,60.37
Kavieng,28.79,69,9,1.0,-2.57
Rapar,26.11,57,0,5.1,23.57
Erattupetta,25.0,94,75,2.83,9.69
Acapulco,27.0,78,5,3.6,16.86
At-Bashi,3.88,57,67,0.48,41.17
Isangel,26.35,84,88,10.57,-19.55
Sobolevo,4.03,93,1,2.61,54.43
Totness,11.57,66,90,5.7,33.74
Zhob,15.56,46,0,0.9,31.34
Sabang,27.9,77,29,4.33,13.72
La Primavera,21.0,37,75,3.6,-32.92
Shingu,20.0,77,75,2.1,33.72
Chulakivka,6.39,61,0,2.27,46.36
Solikamsk,0.15,96,83,2.13,59.65
Manuk Mangkaw,28.7,75,81,2.82,4.8
Narsaq,2.0,59,41,1.5,60.91
Saint Anthony,16.25,25,20,6.2,43.97
Estevan,17.4,22,1,5.1,49.14
Fuerte Olimpo,28.71,58,11,2.48,-21.04
Wakkanai,8.0,52,20,4.6,45.41
Baykit,-4.95,97,91,0.98,61.68
Padang,29.36,71,100,3.25,-0.92
Aksu,-2.0,79,90,2.0,52.04
Makakilo City,26.5,54,75,5.1,21.35
Saint-Pierre,9.84,66,0,3.6,48.95
Krasnogorskoye,-0.21,87,8,0.98,57.7
Souris,5.84,100,90,1.0,46.36
Vestmannaeyjar,6.56,74,100,7.11,63.44
Viedma,12.11,69,0,0.85,-40.81
Shunyi,14.26,76,83,2.0,40.13
Pangnirtung,-17.93,99,90,0.91,66.15
Pimentel,23.57,98,100,1.15,-3.7
Mount Pleasant,20.6,35,1,2.27,33.16
Manzanillo,27.36,77,2,5.9,20.34
Derby,9.43,62,0,3.1,52.92
Dudinka,-24.0,76,0,3.0,69.41
Shimoda,18.16,82,20,2.6,34.7
Vila Velha,25.51,88,40,2.1,-3.71
Dingle,29.04,59,59,3.12,11.0
Bosaso,28.22,69,22,1.96,11.28
Banmankhi,25.63,32,1,3.82,25.89
Uvalde,24.96,44,1,3.6,29.21
Zlobin,8.78,35,0,1.5,45.29
Chingirlau,3.45,60,6,3.24,51.09
Mountain Home,14.21,67,90,8.2,43.13
Leh,-8.91,39,59,1.57,34.16
Kaduna,28.05,19,100,0.86,10.52
Vrangel,13.6,32,18,3.09,42.73
Kulhudhuffushi,29.52,70,100,4.77,6.62
Gbongan,25.06,87,100,1.59,7.47
Pregradnaya,-1.8,89,50,1.33,43.95
Aplahoue,26.41,86,100,2.2,6.93
Palora,17.04,97,100,0.84,-1.7
Cayenne,27.0,78,20,4.6,4.94
Musafirkhana,26.06,29,0,0.73,26.37
Butajira,13.13,90,100,0.72,8.12
Tobermory,8.89,56,5,2.54,45.25
Lata,-5.04,70,48,3.94,30.78
Freeport,23.0,64,20,1.64,26.54
Hlobyne,9.75,48,100,0.56,49.39
Moussoro,33.58,7,0,7.45,13.64
Mapiripan,24.61,92,100,1.12,2.89
Corning,16.23,28,1,7.2,42.14
Palmas de Monte Alto,23.26,83,100,2.17,-14.26
Redmond,14.25,51,20,2.1,47.67
Luanda,27.0,83,75,2.1,-8.83
Puerto Leguizamo,23.91,94,100,1.02,-0.19
Walvis Bay,14.31,87,1,2.6,-22.95
Mantua,12.9,62,0,2.6,45.16
Constantine,12.0,93,100,3.1,36.36
Jimenez,15.0,62,95,2.24,8.54
Boffa,26.49,81,18,4.58,10.18
Ozernovskiy,3.46,62,8,6.19,51.5
Sao Joao da Barra,21.66,94,0,0.94,-21.64
Daru,24.29,96,87,1.11,7.99
Okakarara,17.93,34,59,0.17,-20.59
La Ronge,8.0,61,75,2.6,55.1
Pisco,22.88,78,0,2.6,-13.71
Palmer,17.42,68,75,5.1,-34.85
Kandry,3.71,66,90,0.5,54.55
Lalibela,19.06,51,86,1.06,12.04
Fianarantsoa,16.58,90,93,1.41,-21.45
Ketchikan,8.0,61,75,2.6,55.34
Tabory,3.71,71,2,2.31,53.89
Mackay,9.5,23,20,6.7,53.65
Kharian,22.93,52,0,1.57,32.81
Douglasville,9.06,100,90,2.3,33.75
Bontang,24.47,95,100,1.26,0.12
Suleja,29.0,58,0,1.5,9.18
Bogorodskoye,1.72,68,100,4.83,52.37
Nogliki,3.02,78,100,5.36,51.8
Wangqing,11.77,32,7,1.18,43.31
Yairipok,14.0,93,20,1.0,24.67
Zyryanovsk,0.73,98,96,2.29,49.74
Weiser,14.0,71,75,10.3,44.25
Alice Springs,19.0,63,100,5.1,-23.7
Vardo,16.18,51,90,4.1,39.62
Taloqan,19.94,43,100,2.12,36.74
Tlaxco,23.0,23,40,6.7,19.61
Jacareacanga,26.11,80,70,0.55,-6.22
Narrabri,25.0,44,0,3.1,-30.33
Cabo San Lucas,26.5,23,20,5.1,22.89
Biak,19.57,97,100,0.61,-0.91
Chapais,7.0,52,1,5.1,49.78
Khandyga,2.0,93,100,3.03,62.65
Payakumbuh,21.33,97,100,0.45,-0.23
Minas de Barroteran,30.89,19,0,7.25,27.63
Krasnyy Oktyabr,3.6,86,57,1.79,56.12
Phuket,26.87,83,20,1.0,7.89
Pendleton,7.61,87,1,3.6,34.65
Atar,27.58,17,0,4.56,20.52
Kutum,23.7,12,64,3.13,14.2
Machilipatnam,27.0,94,40,3.63,16.18
Perth,12.06,87,75,1.5,56.4
Payo,21.89,90,79,0.95,-3.75
Port Hedland,24.0,23,100,8.7,-20.31
Ugoofaaru,29.85,69,98,5.14,5.67
Damghan,0.95,97,99,2.94,36.17
Clyde River,-19.0,84,90,9.3,70.47
Juneau,6.71,65,90,8.2,58.3
Siedlce,8.89,55,96,3.1,52.17
Otradnoye,-0.95,92,0,2.0,59.77
Tessalit,31.79,9,0,3.39,20.2
Los Llanos de Aridane,15.76,72,90,5.1,28.66
Northam,10.39,81,54,0.89,51.04
Santa Maria,23.0,88,75,0.5,-29.69
Haines Junction,1.61,44,54,6.69,60.75
Cerrito,21.0,100,75,2.1,6.84
Ardakan,16.0,36,0,3.1,32.31
Salisbury,10.47,66,0,2.1,51.07
Trinidad,14.44,72,100,4.69,-33.52
Camacha,17.0,77,75,7.7,33.08
Mathathane,20.5,54,83,2.93,-22.27
Geraldton,5.0,86,75,2.1,49.72
Port Hope,7.08,100,90,2.46,43.95
Las Palmas,17.0,290,40,0.92,-6.53
Abha,17.52,82,40,2.6,18.22
Choma,16.82,81,0,1.82,-16.81
Mnogovershinnyy,0.92,70,98,4.73,53.94
Lakselv,9.41,53,100,15.4,70.05
Awbari,25.59,10,27,7.07,26.59
Faya,17.52,82,40,2.6,18.39
Erenhot,8.82,19,55,4.6,43.65
Almaznyy,1.0,59,0,1.0,48.03
Kampot,28.0,88,20,1.0,10.62
Zhangjiakou,9.21,44,0,3.15,40.77
Fort Nelson,11.0,17,75,5.1,58.81
Kintampo,25.82,85,100,3.39,8.05
Boyuibe,20.75,86,99,1.22,-20.43
Wattegama,22.88,94,100,0.83,7.35
Salinopolis,27.83,80,100,7.33,-0.61
Kalianget,27.0,78,20,2.6,-7.35
Vanavara,-2.59,94,74,1.99,60.35
Liaoyang,9.0,76,51,1.0,41.27
North Bend,11.08,76,90,7.2,43.41
Kalmunai,24.16,86,97,1.16,7.42
Masuguru,21.88,97,47,1.63,-11.38
Gorontalo,28.27,72,92,0.77,0.54
Aguimes,17.55,72,75,7.2,27.91
Sola,-2.11,86,0,0.5,62.78
Bilma,25.48,10,0,2.46,18.69
Dondo,19.18,97,0,1.17,-19.62
Adrar,23.0,12,0,6.7,27.87
Hastings,17.58,54,82,2.09,-39.64
Korgen,6.48,81,100,1.0,66.08
Aykhal,-7.0,92,90,1.0,65.95
Tiznit,17.48,73,1,14.76,29.7
Sao Filipe,22.17,81,46,7.64,14.9
Lichinga,20.16,84,25,1.82,-13.3
Yarensk,-1.58,95,62,2.2,62.17
Tadine,25.62,82,99,10.21,-21.55
Moron,24.26,89,84,1.81,10.49
Menongue,17.87,91,100,0.52,-14.66
Tomatlan,25.86,66,0,3.65,19.93
Willowmore,9.36,95,77,2.14,-33.3
Esperance,26.35,74,20,4.6,10.24
Bose,13.57,47,0,3.1,45.46
West Richland,19.42,24,40,5.17,46.3
Yaan,30.19,56,79,3.46,7.38
Nanortalik,-0.73,95,64,4.71,60.14
Kyren,-4.2,70,82,2.45,51.68
Port Hardy,10.0,61,40,5.7,50.7
Whitianga,22.78,67,2,1.79,-36.83
Chuy,18.03,67,10,5.95,-33.69
Port Antonio,28.0,61,20,4.6,18.18
Hay River,-1.0,74,75,2.1,60.82
Belaya Gora,-6.29,81,57,4.37,68.54
Alofi,27.0,65,78,10.3,-19.06
Katherine,29.0,54,32,2.6,-14.47
Sulya,25.81,82,59,1.87,12.56
Yerbogachen,-6.88,81,1,3.14,61.28
Independence,21.5,30,40,3.86,39.09
Sao Joao da Ponte,23.08,78,36,1.62,-15.93
Fairbanks,5.66,35,40,6.2,64.84
General Salgado,23.16,68,0,1.97,-20.65
Tuatapere,13.33,80,6,3.22,-46.13
Touros,27.83,81,100,5.32,-5.2
Waingapu,26.45,79,94,5.22,-9.65
Sechelt,14.82,71,20,4.6,49.47
Srednekolymsk,-6.59,83,13,5.6,67.46
Baculin,26.65,73,56,1.76,7.45
Norman Wells,6.0,56,40,4.1,65.28
Mayo,9.0,19,90,2.6,63.59
Krasnoyarsk,0.0,62,0,2.0,56.01
Matara,6.26,87,92,2.16,-13.74
Lagoa,14.67,63,0,4.1,37.14
Terrace,11.1,28,75,7.2,54.52
George Town,27.36,94,75,1.5,5.42
Baglung,7.96,45,4,2.06,28.27
Ialibu,26.01,58,100,1.25,-6.28
Namatanai,28.01,77,81,1.48,-3.66
Goldbach,12.38,41,0,4.1,50.0
Bukama,20.03,96,87,1.06,-9.2
The Valley,25.51,74,40,7.7,18.22
Laguna,30.0,25,75,5.7,27.52
Gari,-0.68,94,62,2.16,59.43
Novomikhaylovskiy,1.74,85,100,3.29,44.26
Puerto del Rosario,18.0,72,5,6.2,28.5
Kedrovyy,0.0,81,0,2.0,56.17
Grand-Lahou,25.77,89,63,1.83,5.24
Jaguaruna,18.43,91,99,0.78,-28.62
Herat,12.11,76,7,10.08,34.35
